time,cpu%,mem%
20200923-175913,28.0,0.694877617941
20200923-175914,20.0,0.694877617941
20200923-175915,39.9,0.694877617941
20200923-175916,39.0,0.694877617941
20200923-175917,22.0,0.694877617941
20200923-175918,22.0,0.694877617941
20200923-175919,11.0,0.694877617941
20200923-175920,20.0,0.694877617941
20200923-175921,42.9,0.694877617941
20200923-175922,41.9,0.694877617941
20200923-175923,4.0,0.694877617941
20200923-175924,24.0,0.694877617941
20200923-175925,27.0,0.694877617941
20200923-175926,37.9,0.694877617941
20200923-175927,57.9,0.694877617941
20200923-175928,31.0,0.694877617941
20200923-175929,42.9,0.694877617941
20200923-175930,56.9,0.694877617941
20200923-175931,48.9,0.694877617941
20200923-175932,49.9,0.694877617941
20200923-175933,56.0,0.694877617941
20200923-175934,41.0,0.694877617941
20200923-175935,22.0,0.694877617941
20200923-175936,36.0,0.694877617941
20200923-175937,14.0,0.694877617941
20200923-175938,49.0,0.694877617941
20200923-175939,47.9,0.694877617941
20200923-175940,49.9,0.694877617941
20200923-175941,31.0,0.694877617941
20200923-175942,5.0,0.694877617941
20200923-175943,38.9,0.694877617941
20200923-175944,52.9,0.694877617941
20200923-175945,41.0,0.694877617941
20200923-175946,34.0,0.694877617941
20200923-175947,5.0,0.694877617941
20200923-175948,10.0,0.694877617941
20200923-175949,32.0,0.694877617941
20200923-175950,31.0,0.694877617941
20200923-175951,29.0,0.694877617941
20200923-175952,43.0,0.694877617941
20200923-175953,49.9,0.694877617941
20200923-175954,101.9,0.694877617941
20200923-175955,100.9,0.694877617941
20200923-175956,102.0,0.694877617941
20200923-175957,98.9,0.694877617941
20200923-175958,100.9,0.694877617941
20200923-175959,101.9,0.694877617941
20200923-180000,82.0,0.694877617941
20200923-180001,5.0,0.694877617941
20200923-180002,68.9,0.694877617941
20200923-180003,38.0,0.694877617941
20200923-180004,26.0,0.694877617941
20200923-180005,23.0,0.694877617941
20200923-180006,48.9,0.694877617941
20200923-180007,55.9,0.694877617941
20200923-180008,41.0,0.694877617941
20200923-180009,92.0,0.694877617941
20200923-180010,95.0,0.694877617941
20200923-180011,100.9,0.694877617941
20200923-180012,99.9,0.694877617941
20200923-180013,102.0,0.694877617941
20200923-180014,100.9,0.694877617941
20200923-180015,98.9,0.694877617941
20200923-180016,99.9,0.694877617941
20200923-180017,99.9,0.694877617941
20200923-180018,98.9,0.694877617941
20200923-180019,99.9,0.694877617941
20200923-180020,100.9,0.694877617941
20200923-180021,64.9,0.694877617941
20200923-180022,60.9,0.694877617941
20200923-180023,45.0,0.694877617941
20200923-180024,101.9,0.694877617941
20200923-180025,99.9,0.694877617941
20200923-180026,101.9,0.694877617941
20200923-180027,99.9,0.694877617941
20200923-180028,100.0,0.694877617941
20200923-180029,42.0,0.694877617941
20200923-180030,38.0,0.694877617941
20200923-180031,70.9,0.694877617941
20200923-180032,46.9,0.694877617941
20200923-180033,45.0,0.694877617941
20200923-180034,47.9,0.694877617941
20200923-180035,47.9,0.694877617941
20200923-180036,54.9,0.694877617941
20200923-180037,56.9,0.694877617941
20200923-180038,53.9,0.694877617941
20200923-180039,48.9,0.694877617941
20200923-180040,56.0,0.694877617941
